song_id,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,label,parjaay
1,129.1992188,164643,1276.302326,0.240891665,0.301678002,0.091009624,0.366112053,0.285707086,0.081628531,0.226792382,0.178601648,0.031898549,5.01371479,36.13156128,1305.489746,-7.652302265,58.10620499,3376.331055,0.009265475,1.959212065,3.838511705,0.132474706,0.064599514,0.004173098,1473.438015,705.6635623,497961.0631,1655.685724,498.8346144,248835.9725,25.01691591,6.683737856,44.67235173,2945.661355,1442.399044,2080515.003,1.276906872,1.537727535,2.364605972,-0.013782693,0.104215484,0.010860867,0.069443647,0.046260505,0.002140034,-4.48E-06,0.137462497,0.018895939,-2.73E-05,0.027201258,0.000739908,8.467156463,4.649219877,21.61524547,4,bichitro
2,151.9990809,199193,1293.461039,0.275191635,0.300285548,0.090171419,0.414687753,0.282244623,0.079662032,0.237777199,0.163692812,0.026795337,4.973483562,35.08551407,1230.993286,-7.458312511,45.65472794,2084.354248,0.007591452,2.395649433,5.739136219,0.136273608,0.06493973,0.004217168,1852.490285,407.5235152,166075.4154,1895.885455,312.7044877,97784.09662,24.16757557,7.026548875,49.37238909,3805.789487,919.7148511,845875.4074,1.492162211,1.765966474,3.118637586,-0.006023251,0.092214969,0.008503601,0.088848102,0.038952585,0.001517304,3.66E-07,0.135930315,0.018477052,-3.93E-06,0.037525315,0.001408149,2.594829932,1.129928778,1.276739044,4,bichitro
3,151.9990809,161883,1217.165414,0.248626262,0.297679007,0.088612795,0.371241212,0.28966105,0.083903529,0.216808566,0.190597427,0.036327379,0.437058061,4.863899708,23.6575222,-13.04270267,79.18589783,6270.40625,0.00663218,1.680400252,2.823745012,0.041847691,0.026085012,0.000680428,1144.678307,427.1712898,182475.3108,1523.492834,273.2186636,74648.43815,26.0734696,5.826026804,33.94258832,2333.598389,851.3382188,724776.7628,0.395086033,0.583673777,0.340675078,0.022566018,0.103550709,0.010722749,0.03931042,0.033670885,0.001133728,-0.021773258,0.039642259,0.001571509,-3.15E-06,0.012040198,0.000144966,8.168780045,3.537997295,12.51742486,4,bichitro
4,161.4990234,210099,1296.907407,0.281116724,0.306030154,0.093654454,0.399009794,0.281916261,0.079476781,0.241224469,0.158568878,0.025144089,3.054193497,16.76328468,281.0076904,-8.703199387,54.1256752,2929.588623,0.006665689,2.623607874,6.883318424,0.108530134,0.040448532,0.001636084,1549.812453,371.0137237,137651.1831,1862.057693,344.8538662,118924.189,25.64413168,9.58278572,91.82978215,3055.902355,913.8094509,835047.7125,1.198202866,1.431780029,2.04999405,0.00334756,0.094996327,0.009024302,0.065280218,0.02357665,0.000555858,-9.46E-07,0.096811563,0.009372478,-2.78E-05,0.039395839,0.001552032,2.987247166,1.572751739,2.473548034,4,bichitro
5,143.5546875,183554,1274.680556,0.262019128,0.316322327,0.100059822,0.383034557,0.289212704,0.083643988,0.226645073,0.178788546,0.031965344,0.878721833,6.509082317,42.36815262,-7.695000648,60.27355194,3632.900879,0.007845742,2.389611244,5.710242271,0.061965365,0.022246521,0.000494908,1557.534661,391.0239801,152899.753,1890.830789,344.9517367,118991.7006,23.62410684,6.285627871,39.50911773,3223.113844,860.9668262,741263.8759,0.642782114,0.739265502,0.546513483,0.007230816,0.091870518,0.008440192,0.059198622,0.024879995,0.000619014,-0.022197042,0.054460194,0.002965913,-9.48E-05,0.018282861,0.000334263,2.121142857,1.372577754,1.883969691,4,bichitro
6,107.6660156,138108,1290.728972,0.246076554,0.299126089,0.089476414,0.386658818,0.275599122,0.075954869,0.235532327,0.16690673,0.027857856,2.354618788,14.83836174,220.1769714,-12.72785854,66.52363586,4425.394531,0.008220659,2.595446825,6.736344337,0.094528124,0.037589148,0.001412944,1172.522254,319.6360644,102167.2137,1221.171183,272.7128598,74372.3039,26.30374694,8.301982915,68.92292033,2140.870388,763.7479787,583310.975,0.985097018,1.185226181,1.4047611,-0.006452445,0.096230906,0.009260387,0.061657979,0.017812312,0.000317278,-5.79E-06,0.088171527,0.007774218,-5.27E-05,0.03124658,0.000976349,2.6621678,1.282054318,1.643663274,4,bichitro
7,129.1992188,157403,1345.324786,0.220004141,0.312482893,0.097645566,0.343893528,0.29631722,0.0878039,0.210404649,0.197644167,0.039063217,1.714428425,16.18558693,261.9732361,-17.82759476,71.29046631,5082.331055,0.006570754,1.565607309,2.451126337,0.068921193,0.052952867,0.002804006,1707.264703,530.9583497,281916.7691,1981.435073,383.649683,147187.0793,25.43961482,6.431458375,41.36365683,3530.903649,1325.361802,1756583.906,0.54894565,0.808371324,0.653464197,-0.00491697,0.118586483,0.014062754,0.061571056,0.029534995,0.000872316,-0.00032564,0.084660664,0.007167428,-5.36E-05,0.011097272,0.000123149,8.817777778,3.403310937,11.58252534,4,bichitro
8,135.9991776,169544,1274.766917,0.263221353,0.316126466,0.099935949,0.416477501,0.28181392,0.079419084,0.238190214,0.163091248,0.026598755,2.706348419,19.56073189,382.6222534,-7.890021324,51.76792908,2679.918457,0.009713601,2.458308697,6.043281555,0.10096918,0.044867828,0.002013122,1788.963079,467.7880294,218825.6405,1963.992273,383.5107071,147080.4624,23.77725684,6.90502224,47.67933214,3777.706323,993.720572,987480.5753,1.040880872,1.20075436,1.441811032,0.016288665,0.091219824,0.008321056,0.077182829,0.028301617,0.000800982,-3.04E-06,0.101563133,0.01031507,-4.24E-05,0.024722209,0.000611188,2.982603175,1.354491328,1.834646759,4,bichitro
9,99.38401442,126673,1292.581633,0.292204022,0.307050467,0.09427999,0.422307968,0.279663056,0.078211419,0.244156931,0.154015345,0.023720726,1.890506148,13.6527195,186.396759,-8.263691902,50.7642746,2577.011719,0.007445929,2.431484938,5.912118435,0.083429344,0.043876354,0.001925134,1956.887043,482.497717,232804.0469,1942.895276,336.067864,112941.6092,23.57099889,7.299526212,53.28308292,3915.909654,1027.985102,1056753.37,0.978897467,1.206855254,1.456499605,-0.0146778,0.086491869,0.007480843,0.097520196,0.036180476,0.001309027,8.60E-07,0.081178725,0.006589985,-1.09E-05,0.0289221,0.000836488,2.104888889,1.002803012,1.005613882,4,bichitro
10,161.4990234,199135,1310.098684,0.282760859,0.33547172,0.112541273,0.409027666,0.289851725,0.084014021,0.236573901,0.165427092,0.027366123,2.809520721,18.59276962,345.6910706,-8.641812325,47.99227905,2303.258789,0.006588518,2.247076511,5.049353123,0.105579332,0.042510521,0.001807144,2242.942399,421.5276377,177685.5493,2338.308881,296.7024221,88032.32726,22.61600488,6.37212729,40.6040062,4564.90573,919.8685464,846158.1426,1.065380221,1.24571387,1.551803046,-0.014059539,0.088261839,0.007790152,0.090298018,0.039177477,0.001534875,0.000779118,0.103218541,0.010654068,0.000440809,0.029908003,0.000894489,4.030984127,1.241722762,1.541875417,4,bichitro
