lyrics,enum
"বিশ্ববীণারবে বিশ্বজন মোহিছে।
স্থলে জলে নভতলে বনে উপবনে
নদীনদে গিরিগুহা-পারাবারে
নিত্য জাগে সরস সঙ্গীতমধুরিমা,
নিত্য নৃত্যরসভঙ্গিমা।–

নব বসন্তে নব আনন্দ, উৎসব নব।
অতি মঞ্জুল, অতি মঞ্জুল, শুনি মঞ্জুল গুঞ্জন কুঞ্জে–
শুনি রে শুনি মর্মর পল্লবপুঞ্জে,
পিককূজন পুষ্পবনে বিজনে,
মৃদু বায়ুহিলোলবিলোল বিভোল বিশাল সরোবর-মাঝে
কলগীত সুললিত বাজে।
শ্যমল কান্তার-’পরে অনিল সঞ্চারে ধীরে রে,
নদীতীরে শরবনে উঠে ধবনি সরসর মরমর।
কত দিকে কত বাণী, নব নব কত ভাষা, ঝরঝর রসধারা॥


আষাঢ়ের নব আনন্দ, উৎসব নব।
অতি গম্ভীর, অতি গম্ভীর নীল অম্বরে ডম্বরু বাজে,
যেন রে প্রলয়ঙ্করী শঙ্করী নাচে।
করে গর্জন নির্ঝরিণী সঘনে,
হেরো ক্ষুব্ধ ভয়াল বিশাল নিরাল পিয়ালতমালবিতানে
উঠে রব ভৈরবতানে।
পবন মল্লারগীত গাহিছে আঁধার রাতে,
উন্মাদিনী সৌদামিনী রঙ্গভরে নৃত্য করে অম্বরতলে।
দিকে দিকে কত বাণী, নব নব কত ভাষা, ঝরঝর রসধারা।


আশ্বিনে নব আনন্দ, উৎসব নব।
অতি নির্মল, অতি নির্মল, অতি নির্মল উজ্জ্বল সাজে
ভুবনে নব শারদলক্ষ্মী বিরাজে।
নব ইন্দুলেখা অলকে ঝলকে,
অতি নির্মল হাসবিভাসবিকাশ আকাশনীলাম্বুজ-মাঝে
শ্বেত ভুজে শ্বেত বীণা বাজে –
উঠিছে আলাপ মৃদু মধুর বেহাগতানে,
চন্দ্রকরে উল্লসিত ফুল্লবনে ঝিল্লিরবে তন্দ্রা আনে রে।
দিকে দিকে কত বাণী, নব নব কত ভাষা, ঝরঝর রসধারা।",1
"কুসুমে কুসুমে চরণচিহ্ন   দিয়ে যাও, শেষে  দাও মুছে।
ওহে  চঞ্চল, বেলা   না যেতে খেলা  কেন তব যায় ঘুচে॥
চকিত চোখের অশ্রুসজল   বেদনায় তুমি ছুঁয়ে ছুঁয়ে চল –
   কোথা সে পথের শেষ   কোন্‌ সুদূরের দেশ
        সবাই তোমায় তাই পুছে॥
বাঁশরির ডাকে কুঁড়ি ধরে শাখে,  ফুল যবে ফোটে নাই দেখা।
তোমার লগন যায় যে কখন,  মালা গেঁথে আমি রই একা।
‘এসো এসো এসো’ আঁখি কয় কেঁদে।  তৃষিত বক্ষ বলে ‘রাখি বেঁধে’।
   যেতে যেতে, ওগো প্রিয়,  কিছু ফেলে রেখে দিয়ো
        ধরা দিতে যদি নাই রুচে॥",1
"একি  আকুলতা ভুবনে!  একি  চঞ্চলতা পবনে॥
একি  মধুরমদির রসরাশি   আজি  শূন্যতলে চলে ভাসি,
  ঝরে  চন্দ্রকরে একি হাসি,  ফুল-  গন্ধ লুটে গগনে॥
একি  প্রাণভরা অনুরাগে  আজি  বিশ্বজগতজন জাগে,
আজি  নিখিল নীলগগনে  সুখ-  পরশ কোথা হতে লাগে।
সুখে  শিহরে সকল বনরাজি,  উঠে  মোহনবাঁশরি বাজি,
  হেরো  পূর্ণবিকশিত আজি  মম  অন্তর সুন্দর স্বপনে॥",1
"আজ  তালের বনের করতালি  কিসের তালে
পূর্ণিমাচাঁদ মাঠের পারে    ওঠার কালে॥
    না-দেখা কোন্‌ বীণা বাজে  আকাশ-মাঝে,
    না-শোনা কোন্‌ রাগ রাগিণী  শূন্যে ঢালে॥
ওর  খুশির সাথে কোন্‌ খুশির আজ  মেলামেশা,
কোন্‌  বিশ্বমাতন গানের নেশায়  লাগল নেশা।
    তারায় কাঁপে রিনিঝিনি  যে কিঙ্কিণী
    তারি কাঁপন লাগল কি ওর  মুগ্ধ ভালে॥",1
"আঁধার কুঁড়ির বাঁধন টুটে  চাঁদের ফুল উঠেছে ফুটে॥
    তার  গন্ধ কোথায়, গন্ধ কোথায় রে।
    গন্ধ আমার গভীর ব্যথায় হৃদয়-মাঝে লুটে॥
ও  কখন যাবে সরে,  আকাশ হতে পড়বে ঝরে।
    ওরে  রাখব কোথায়, রাখব কোথায় রে।
    রাখব ওরে আমার ব্যথায় গানের পত্রপুটে॥",1
" পূর্ণচাঁদের মায়ায় আজি ভাবনা আমার পথ ভোলে,
যেন  সিন্ধুপারের পাখি তারা যা য়  যা য়  যায় চলে॥
   আলোছায়ার সুরে  অনেক কালের সে কোন্‌ দূরে
         ডাকে  আ য়  আ য়  আয় ব’লে॥
   যেথায় চলে গেছে আমার হারা ফাগুনরাতি
   সেথায় তারা ফিরে ফিরে খোঁজে আপন সাথি।
আলোছায়ায় যেথা  অনেক দিনের সে কোন্‌ ব্যথা
     কাঁদে  হা য়  হা য়  হায় ব’লে॥",1
" কত যে তুমি মনোহর মনই তাহা জানে,
    হৃদয় মম থরোথরো কাঁপে তোমার গানে॥
আজিকে এই প্রভাতবেলা  মেঘের সাথে রোদের খেলা,
    জলে নয়ন ভরোভরো চাহি তোমার পানে॥
    আলোর অধীর ঝিলিমিলি নদীর ঢেউয়ে ওঠে,
    বনের হাসি খিলিখিলি পাতায় পাতায় ছোটে।
আকাশে ওই দেখি কী যে–  তোমার চোখের চাহনি যে।
    সুনীল সুধা ঝরোঝরো ঝরে আমার প্রাণে॥",1
"আকাশভরা সূর্য-তারা, বিশ্বভরা প্রাণ,
তাহারি মাঝখানে আমি পেয়েছি মোর স্থান,
বিস্ময়ে তাই জাগে আমার গান॥
অসীম কালের যে হিল্লোলে  জোয়ার-ভাঁটায় ভুবন দোলে
নাড়ীতে মোর রক্তধারায় লেগেছে তার টান,
বিস্ময়ে তাই জাগে আমার গান॥
ঘাসে ঘাসে পা ফেলেছি বনের পথে যেতে,
ফুলের গন্ধে চমক লেগে উঠেছে মন মেতে,
ছড়িয়ে আছে আনন্দেরই দান,
বিস্ময়ে তাই জাগে আমার গান।
কান পেতেছি, চোখ মেলেছি,  ধরার বুকে প্রাণ ঢেলেছি,
জানার মাঝে অজানারে করেছি সন্ধান,
বিস্ময়ে তাই জাগে আমার গান॥",1
"ব্যাকুল বকুলের ফুলে   ভ্রমর মরে পথ ভুলে॥
      আকাশে কী গোপন বাণী   বাতাসে করে কানাকানি,
             বনের অঞ্চলখানি   পুলকে উঠে দুলে দুলে॥
বেদনা সুমধুর হয়ে   ভুবনে আজি গেল বয়ে।
      বাঁশিতে মায়া-তান পূরি   কে আজি মন করে চুরি,
             নিখিল তাই মরে ঘুরি   বিরহসাগরের কূলে॥",1
"নাই রস নাই, দারুণ দাহনবেলা।   খেলো খেলো তব নীরব ভৈরব খেলা॥
    যদি   ঝ’রে পড়ে পড়ুক পাতা,   ম্লান হয়ে যাক মালা গাঁথা,
           থাক্‌ জনহীন পথে পথে   মরীচিকাজাল ফেলা॥
শুষ্ক ধুলায় খসে-পড়া ফুলদলে   ঘূর্ণী-আঁচল উড়াও আকাশতলে।
     প্রাণ যদি কর মরুসম   তবে তাই হোক– হে নির্মম,
         তুমি একা আর আমি একা,   কঠোর মিলনমেলা॥",1
"দারুণ অগ্নিবাণে রে   হৃদয় তৃষায় হানে রে॥
    রজনী নিদ্রাহীন,   দীর্ঘ দগ্ধ দিন
         আরাম নাহি যে জানে রে॥
    শুষ্ক কাননশাখে   ক্লান্ত কপোত ডাকে
         করুণ কাতর গানে রে॥
ভয় নাহি, ভয় নাহি।   গগনে রয়েছি চাহি।
    জানি ঝঞঝার বেশে   দিবে দেখা তুমি এসে
         একদা তাপিত প্রাণে রে॥",1
"এসো এসো হে তৃষ্ণার জল,   কলকল্‌ ছলছল্‌–
ভেদ করো কঠিনের ক্রূর বক্ষতল   কলকল্‌ ছলছল্‌॥
      এসো এসো উৎসস্রোতে গূঢ় অন্ধকার হতে
      এসো হে নির্মল   কলকল্‌ ছলছল্‌॥
রবিকর রহে তব প্রতীক্ষায়।
তুমি যে খেলার সাথি, সে তোমারে চায়।
      তাহারি সোনার তান   তোমাতে জাগায় গান,
      এসো হে উজ্জ্বল, কলকল্‌ ছলছল্‌॥
হাঁকিছে অশান্ত বায়,
‘আয়, আয়, আয়।’   সে তোমায় খুঁজে যায়।
      তাহার মৃদঙ্গরবে   করতালি দিতে হবে,
      এসো হে চঞ্চল, কলকল্‌ ছলছল্‌॥
মরুদৈত্য কোন্‌ মায়াবলে
তোমারে করেছে বন্দী পাষাণশৃঙ্খলে।
      ভেঙে ফেলে দিয়ে কারা   এসো বন্ধহীন ধারা,
     এসো হে প্রবল,   কলকল্‌ ছলছল্‌॥",1
"হৃদয় আমার, ওই বুঝি তোর বৈশাখী ঝড় আসে।
বেড়া-ভাঙার মাতন নামে উদ্দাম উল্লাসে॥
তোমার   মোহন এল ভীষণ বেশে,   আকাশ ঢাকা জটিল কেশে–
    বুঝি   এল তোমার সাধনধন চরম সর্বনাশে॥
বাতাসে তোর সুর ছিল না,   ছিল তাপে ভরা।
পিপাসাতে বুক-ফাটা তোর শুষ্ক কঠিন ধরা।
এবার  জাগ্‌ রে হতাশ, আয় রে ছুটে   অবসাদের বাঁধন টুটে–
      বুঝি   এল তোমার পথের সাথি বিপুল অট্টহাসে॥",1
" এসো, এসো, এসো হে বৈশাখ।
তাপসনিশ্বাসবায়ে   মুমূর্ষুরে দাও উড়ায়ে,
    বৎসরের আবর্জনা দূর হয়ে যাক॥
যাক পুরাতন স্মৃতি,   যাক ভুলে-যাওয়া গীতি,
    অশ্রুবাষ্প সুদূরে মিলাক॥
    মুছে যাক গ্লানি, ঘুচে যাক জরা,
    অগ্নিস্নানে শুচি হোক ধরা।
রসের আবেশরাশি   শুষ্ক করি দাও আসি,
    আনো আনো আনো তব প্রলয়ের শাঁখ।
    মায়ার কুজ্ঝটিজাল যাক দূরে যাক॥",1
"নমো নমো, হে বৈরাগী।
     তপোবহ্নির শিখা জ্বালো জ্বালো,
        নির্বাণহীন নির্মল আলো
          অন্তরে থাক্‌ জাগি॥",1
"মধ্যদিনে যবে গান বন্ধ করে পাখি,
হে রাখাল, বেণু তব বাজাও একাকী॥
প্রান্তরপ্রান্তের কোণে   রুদ্র বসি তাই শোনে
মধুরের-স্বপ্নাবেশে-ধ্যানমগন-আঁখি–
হে রাখাল, বেণু যবে বাজাও একাকী॥
সহসা উচ্ছ্বসি উঠে ভরিয়া আকাশ
তৃষাতপ্ত বিরহের নিরুদ্ধ নিশ্বাস।
অম্বরপ্রান্তে যে দূরে   ডম্বরু গম্ভীর সুরে
জাগায় বিদ্যুতছন্দে আসন্ন বৈশাখী–
হে রাখাল, বেণু যবে বাজাও একাকী॥",1
" ওই বুঝি কালবৈশাখী
           সন্ধ্যা-আকাশ দেয় ঢাকি॥
ভয় কী রে তোর ভয় কারে,   দ্বার খুলে দিস চার ধারে–
শোন্‌ দেখি ঘোর হুঙ্কারে   নাম তোরই ওই যায় ডাকি॥
           তোর সুরে আর তোর গানে
           দিস সাড়া তুই ওর পানে।
যা নড়ে তায় দিক নেড়ে,   যা যাবে তা যাক ছেড়ে,
যা ভাঙা তাই ভাঙবে রে–  যা রবে তাই থাক বাকি॥",1
"প্রখর তপনতাপে   আকাশ তৃষায় কাঁপে,
    বায়ু করে হাহাকার।
দীর্ঘপথের শেষে   ডাকি মন্দিরে এসে,
    ‘খোলো খোলো খোলো দ্বার।’
বাহির হয়েছি কবে   কার আহবানরবে,
এখনি মলিন হবে   প্রভাতের ফুলহার॥
বুকে বাজে আশাহীনা   ক্ষীণমর্মর বীণা,
জানি না কে আছে কিনা,   সাড়া তো না পাই তার।
আজি সারা দিন ধ’রে   প্রাণে সুর ওঠে ভরে,
একেলা কেমন ক’রে  বহিব গানের ভার॥",1
" বৈশাখের এই ভোরের হাওয়া আসে মৃদুমন্দ।
  আনে আমার মনের কোণে সেই চরণের ছন্দ॥
      স্বপ্নশেষের বাতায়নে  হঠাৎ-আসা ক্ষণে ক্ষণে
      আধো-ঘুমের-প্রান্ত-ছোঁওয়া বকুলমালার গন্ধ॥
বৈশাখের এই ভোরের হাওয়া বহে কিসের হর্ষ,
যেন রে সেই উড়ে-পড়া এলো কেশের স্পর্শ।
    চাঁপাবনের কাঁপন-ছলে  লাগে আমার বুকের তলে
    আরেক দিনের প্রভাত হতে হৃদয়দোলার স্পন্দ॥",1
" বৈশাখ হে, মৌনী তাপস, কোন্‌ অতলের বাণী
            এমন   কোথায় খুঁজে পেলে।
      তপ্ত ভালের দীপ্তি ঢাকি মন্থর মেঘখানি
          এল  গভীর ছায়া ফেলে॥
              রুদ্রতপের সিদ্ধি এ কি  ওই-যে তোমার বক্ষে দেখি,
                  ওরই লাগি আসন পাতো হোমহুতাশন জ্বেলে॥
      নিঠুর, তুমি তাকিয়েছিলে মৃত্যুক্ষুধার মতো
         তোমার রক্তনয়ন মেলে।
      ভীষণ, তোমার প্রলয়সাধন প্রাণের বাঁধন যত
          যেন   হানবে অবহেলে।
             হঠাৎ তোমার কন্ঠে এ যে   আশার ভাষা উঠল বেজে,
                  দিলে তরুণ শ্যামল রূপে করুণ সুধা ঢেলে॥",1
